seed,sharpe,total_pnl,max_drawdown,win_rate
0,-1.9838480554896272,-51757.850997637215,85921.9071721518,0.43333333333333335
1,-0.03924390791162295,-458.5585306840039,31398.002490417646,0.5
2,-3.7803392927582458,-60210.21977243823,40860.65078966588,0.4666666666666667
3,1.8410713516000083,147021.55930370663,121441.16856740367,0.5
4,-5.145538177760732,-148120.86152659426,183337.10207628773,0.4666666666666667
5,-3.9576908862331783,-311592.4436919845,350342.6315371086,0.4
6,3.116389381451835,94513.19961096198,29721.53391914611,0.5333333333333333
7,3.5288240000084587,38635.30754727315,19677.48978475244,0.5
8,1.2790150044059978,20549.88271553692,22039.682865634917,0.5
9,1.2296964696207888,26277.256405300097,45523.86129548855,0.5333333333333333
10,1.8764594891874369,178463.56619811186,166789.16645128536,0.5
11,-4.999311504182444,-72892.78133920358,58305.590883268276,0.4
12,-3.0453410596163883,-53567.469322203455,36209.349008137266,0.4666666666666667
13,3.2859300142917602,180958.19080219662,97449.80816843756,0.5
14,-3.957297400552581,-197092.42809862192,241560.43596377998,0.43333333333333335
15,4.505544878498111,106920.30902194444,20134.66030304403,0.6
16,1.990894705659067,63994.675253248584,33668.180779373244,0.6333333333333333
17,1.2167410711515279,27842.882574214833,46071.0672849854,0.5
18,2.329220952688387,92659.16484550879,34557.29762585112,0.5333333333333333
19,-2.1654210887637353,-62499.55492454231,51287.769682659964,0.3333333333333333
