hedge_threshold,base_spread_bps,informed_threshold,mean_sharpe,std_sharpe,mean_total_pnl,mean_hedge_cost,mean_spread_capture
50,50,0.002,0.7728117221370506,1.1860108080219358,9375.614374447057,-21865.67414343176,83684.44315479565
50,50,0.001,0.6912450624341073,1.0120294204902875,26185.506172442274,-27475.611601600678,77065.16573965174
50,20,0.002,0.6019032773076722,1.1482426238603203,5273.414374447034,-21865.67414343176,63083.44315479564
50,20,0.001,0.6014708378044485,1.0451252747095257,22679.521557057604,-27475.611601600678,58813.16573965175
50,10,0.001,0.5716222818290299,1.0554877472559525,21510.86001859596,-27475.611601600678,52729.16573965175
50,10,0.002,0.543287455372422,1.1374876259000546,3906.0143744470106,-21865.67414343176,56216.443154795656
25,50,0.002,0.5036472614641045,1.1493694113671236,3365.468640281945,-27802.64260320961,83684.44315479565
25,50,0.001,0.46107397026106767,1.0431111754488842,19824.906806344352,-33956.240146357144,77065.16573965174
25,20,0.001,0.3710741896383328,1.0718888402286841,16318.922190959765,-33956.240146357144,58813.16573965175
25,10,0.001,0.34115957782276646,1.0807996146445251,15150.260652498171,-33956.240146357144,52729.16573965175
25,20,0.002,0.3311117501944296,1.110590237786625,-736.7313597180561,-27802.64260320961,63083.44315479564
10,50,0.001,0.31896398476875654,1.070106885323043,15990.982688159687,-37771.08710629343,77065.16573965174
10,50,0.002,0.3170361444294374,1.11925659197957,-711.877982015699,-31971.325280468754,83684.44315479565
25,10,0.002,0.27216607980649415,1.099818995183411,-2104.131359718056,-27802.64260320961,56216.443154795656
10,20,0.001,0.22896405345039966,1.0953818442638315,12484.99807277515,-37771.08710629343,58813.16573965175
10,10,0.001,0.199056408159402,1.1031178226527862,11316.336534313556,-37771.08710629343,52729.16573965175
10,20,0.002,0.14332734797033514,1.0791744200078235,-4814.077982015628,-31971.325280468754,63083.44315479564
10,10,0.002,0.08415974417623623,1.0682160217925698,-6181.477982015627,-31971.325280468754,56216.443154795656
50,50,0.005,-0.16402035524444553,2.3062306279776124,-9893.40389755677,-15443.085999057535,18673.144706186817
50,20,0.005,-0.19040314155178759,2.2774457559453865,-10163.40389755677,-15443.085999057535,13786.144706186815
50,10,0.005,-0.19942245084754742,2.267803064370386,-10253.40389755677,-15443.085999057535,12157.144706186813
25,50,0.005,-0.5196047480204565,2.270464911031068,-15018.433473744477,-20341.342686295993,18673.144706186817
25,20,0.005,-0.5472223699967768,2.2413318332281693,-15288.433473744477,-20341.342686295993,13786.144706186815
25,10,0.005,-0.5566476899826347,2.231615189216882,-15378.433473744477,-20341.342686295993,12157.144706186813
10,50,0.005,-0.7797482264920353,2.226615087417385,-18785.131768527215,-24203.03555503214,18673.144706186817
10,20,0.005,-0.8084256745186362,2.1975622871914964,-19055.13176852719,-24203.03555503214,13786.144706186815
10,10,0.005,-0.8182003902769365,2.1879150672041145,-19145.13176852719,-24203.03555503214,12157.144706186813
